序号,城市,地点,场景类型,频谱数据目录名称,IQ数据相对目录,IQ数据组名称,备注,极化方式,频段,频谱峰值频率(MHz),频谱峰值功率(dBμV/m),频谱BW_3dB(MHz),IQ中心频率(MHz),IQ数据组完整名称,IQ文件状态,汇总说明
1,长春测点,一汽红旗繁荣工厂,工业区,1红旗繁荣工厂,20260525IQR,20260525fanr,,垂直极化,30M-6G (All),"2555.555556, 2531.746032, 2579.365079, 2595.238095, 3563.492063, 3539.682540, 3603.174603, 3587.301587, 3515.873016, 1849.206349","112.026, 111.629, 107.450, 106.505, 105.800, 105.664, 104.843, 104.180, 103.998, 103.899","17.507987, 21.207368, 98.047041, 102.165847, 10.361296, 26.034265, 30.003796, 31.790165, 63.337533, 4.427829",,,,有10个主要峰值，无关联IQ
2,长春测点,欧亚卖场8号门,购物广场,3欧亚卖场停车场8号门,20260526IQR,20260525oymc8men,,垂直极化,30M-6G (All),"869.047619, 1865.079365, 3507.936508, 2531.746032, 2428.571429, 3595.238095, 1825.396825, 948.412698, 2404.761905, 3539.682540","106.991, 106.824, 105.346, 105.103, 104.346, 103.289, 102.691, 102.310, 101.280, 100.621","0.218265, 32.574624, 12.416439, 18.811235, 1.618847, 13.214771, 17.503217, 0.715714, 2.365061, 41.650221",,,,有10个主要峰值，无关联IQ
3,长春测点,欧亚卖场5号门,购物广场,4欧亚卖场停车场5号门,20260527IQR,20260525oymc9men,,垂直极化,30M-6G (All),"2571.428571, 3523.809524, 3547.619048, 3595.238095, 948.412698, 2531.746032, 3507.936508, 2611.111111, 2484.126984, 773.809524","109.210, 109.204, 108.334, 107.356, 102.940, 102.918, 102.264, 101.134, 100.612, 100.497","22.727391, 7.082254, 8.257510, 28.054613, 0.293117, 12.396346, 6.890949, 19.105941, 1.792137, 1.308858",,,,有10个主要峰值，无关联IQ
4,长春测点,欧亚卖场14号门,闹市区,2欧亚卖场停车场14号门,20260528IQR,20260525oymc14men,,垂直极化,30M-6G (All),"3547.619048, 2547.619048, 1817.460317, 3507.936508, 3531.746032, 3571.428571, 2531.746032, 2603.174603, 2619.047619, 2579.365079","114.498, 113.687, 113.654, 113.626, 113.623, 112.357, 111.295, 110.907, 110.046, 109.760","44.987123, 8.694337, 17.115869, 46.625066, 46.631560, 24.044087, 16.290971, 7.265692, 13.371178, 9.160456",,,,有10个主要峰值，无关联IQ
5,长春测点,欧亚卖场20号门,闹市区,5欧亚卖场停车场20号门,20260529IQR,20260525oymc20n,,垂直极化,30M-6G (All),"2627.142857, 2538.095238, 2570.476190, 3533.809524, 2610.952381, 1825.714286, 1809.523810, 1898.571429, 3404.285714, 3590.476190","119.422, 112.156, 110.290, 110.096, 109.342, 109.006, 108.447, 108.164, 106.614, 105.303","5.404382, 11.698493, 36.613684, 7.401298, 28.535043, 18.317820, 18.731568, 10.184872, 6.296148, 19.242699",,,,有10个主要峰值，无关联IQ
6,长春测点,吉林广播信号塔,广播电视塔,7吉林广播电视塔,20260530IQR,20260526gbxinhaota,,垂直极化,30M-6G (All),"1865.079365, 91.793651, 2611.111111, 2531.746032, 3579.365079, 2134.920635, 2587.301587, 3404.761905, 3444.444444, 3515.873016","114.424, 113.241, 112.265, 108.313, 108.234, 107.747, 106.177, 105.456, 104.905, 104.185","14.916097, 0.352270, 12.601492, 6.481553, 7.006681, 13.435596, 44.897623, 11.142237, 17.179166, 7.652624",,,,有10个主要峰值，无关联IQ
7,长春测点,红旗街万达地下停车场,闹市区,6红旗街万达广场地下停车场,20260531IQR,20260526hqjwanda,,垂直极化,30M-6G (All),"2357.142857, 2341.269841, 1928.571429, 3444.444444, 3460.317460, 3404.761905, 3515.873016, 2468.253968, 2420.634921, 3492.063492","101.174, 99.792, 96.464, 90.867, 90.593, 90.300, 90.065, 89.758, 88.263, 87.392","13.642075, 22.942478, 11.410457, 25.710653, 26.633300, 7.798852, 11.339723, 11.123404, 15.144763, 43.312040",,,,有10个主要峰值，无关联IQ
8,长春测点,长春龙嘉国际机场T1航站楼停车场,机场区域,9龙嘉国际机场航站楼T1,20260532IQR,20260526t1longjiajc,,垂直极化,30M-6G (All),"1817.460317, 1031.746032, 2539.682540, 2523.809524, 3507.936508, 1801.587302, 2603.174603, 2587.301587, 3555.555556, 2658.730159","111.729, 108.005, 107.930, 107.348, 105.855, 105.753, 104.330, 101.937, 100.760, 100.560","15.189465, 1.949097, 38.037157, 43.064588, 3.975879, 34.971647, 17.008216, 100.498207, 15.245279, 22.006845",,,,有10个主要峰值，无关联IQ
9,长春测点,长春龙嘉国际机场2航站楼停车场,机场区域,8龙嘉国际机场航站楼T2,20260533IQR,20260526longjiac,,垂直极化,30M-6G (All),"1825.396825, 2523.809524, 2587.301587, 2563.492063, 2611.111111, 1849.206349, 2142.857143, 2428.571429, 3523.809524, 869.047619","117.973, 117.118, 114.422, 112.870, 112.586, 109.949, 105.107, 103.010, 102.329, 102.060","11.083374, 13.904979, 14.434800, 37.862277, 11.030650, 13.014744, 12.601506, 2.456389, 6.096116, 0.255319",,,,有10个主要峰值，无关联IQ
10,长春测点,长春市朝阳区普洛斯物流园区,物流仓储中心,10大型物流园,20260534IQR,20260526puluosiwly,,垂直极化,30M-6G (All),"1817.460317, 2515.873016, 2642.857143, 2563.492063, 2587.301587, 3547.619048, 2126.984127, 766.666667, 780.158730, 3476.190476","105.597, 103.966, 102.017, 101.951, 101.468, 100.159, 99.999, 99.018, 98.171, 96.117","19.054781, 13.556686, 11.881886, 24.346970, 4.882906, 17.743308, 16.562422, 12.740425, 1.378959, 5.120129",,,,有10个主要峰值，无关联IQ
11,长春测点,长春西站,车站,12长春西站,20260535IQR,20260527ccxz,,垂直极化,30M-6G (All),"2666.666667, 2642.857143, 1817.460317, 3507.936508, 3452.380952, 3484.126984, 1865.079365, 3428.571429, 3468.253968, 2531.746032","108.754, 107.434, 107.225, 105.999, 105.458, 102.875, 102.745, 102.702, 102.423, 102.414","37.623298, 41.005115, 8.662009, 5.121780, 10.320710, 77.677163, 20.925087, 78.457567, 79.718116, 30.435040",,,,有10个主要峰值，无关联IQ
12,长春测点,八一水韵城,居民区,15八一水韵城,20260536IQR,20260527bysy,,垂直极化,30M-6G (All),"1880.952381, 2531.746032, 3579.365079, 2555.555556, 2595.238095, 2579.365079, 3515.873016, 2126.984127, 1857.142857, 3547.619048","110.449, 108.420, 105.273, 105.259, 103.909, 103.694, 102.641, 102.082, 101.579, 99.973","8.402324, 20.859813, 8.991686, 50.051465, 93.764906, 94.240027, 24.202260, 16.326023, 34.031081, 59.653106",,,,有10个主要峰值，无关联IQ
13,长春测点,长春市轨道交通集团,工业区,14长春市轨道交通集团,20260537IQR,20260527gdjt,,垂直极化,30M-6G (All),"3523.809524, 3587.301587, 3603.174603, 2547.619048, 2523.809524, 869.047619, 2579.365079, 948.412698, 1817.460317, 1873.015873","113.728, 111.416, 111.250, 109.194, 106.817, 104.373, 103.461, 101.099, 99.029, 97.677","21.967574, 27.151075, 27.799224, 30.935574, 41.100572, 0.442061, 6.972751, 0.613567, 15.381489, 30.417174",,,,有10个主要峰值，无关联IQ
14,长春测点,一汽总医院,医院外部,13吉林省一汽总医院,20260538IQR,20260527yqzyy,,垂直极化,30M-6G (All),"1857.142857, 1873.015873, 1817.460317, 2547.619048, 2563.492063, 4809.523810, 2579.365079, 2619.047619, 2515.873016, 2650.793651","115.358, 115.297, 107.696, 105.373, 105.287, 104.784, 103.424, 102.756, 102.590, 101.026","14.320372, 12.325870, 11.449914, 36.080244, 36.437794, 10.537459, 68.427305, 16.012259, 69.841806, 6.337218",,,,有10个主要峰值，无关联IQ
