序号,城市,地点,场景类型,频谱数据目录名称,IQ数据相对目录,IQ数据组名称,备注
1,长春测点,一汽红旗繁荣工厂,工业区,1红旗繁荣工厂,20260525IQR,20260525fanr,
2,长春测点,欧亚卖场8号门,购物广场,3欧亚卖场停车场8号门,20260526IQR,20260525oymc8men,
3,长春测点,欧亚卖场5号门,购物广场,4欧亚卖场停车场5号门,20260527IQR,20260525oymc9men,
4,长春测点,欧亚卖场14号门,闹市区,2欧亚卖场停车场14号门,20260528IQR,20260525oymc14men,
5,长春测点,欧亚卖场20号门,闹市区,5欧亚卖场停车场20号门,20260529IQR,20260525oymc20n,
6,长春测点,吉林广播信号塔,广播电视塔,7吉林广播电视塔,20260530IQR,20260526gbxinhaota,
7,长春测点,红旗街万达地下停车场,闹市区,6红旗街万达广场地下停车场,20260531IQR,20260526hqjwanda,
8,长春测点,长春龙嘉国际机场T1航站楼停车场,机场区域,9龙嘉国际机场航站楼T1,20260532IQR,20260526t1longjiajc,
9,长春测点,长春龙嘉国际机场2航站楼停车场,机场区域,8龙嘉国际机场航站楼T2,20260533IQR,20260526longjiac,
10,长春测点,长春市朝阳区普洛斯物流园区,物流仓储中心,10大型物流园,20260534IQR,20260526puluosiwly,
11,长春测点,长春西站,车站,12长春西站,20260535IQR,20260527ccxz,
12,长春测点,八一水韵城,居民区,15八一水韵城,20260536IQR,20260527bysy,
13,长春测点,长春市轨道交通集团,工业区,14长春市轨道交通集团,20260537IQR,20260527gdjt,
14,长春测点,一汽总医院,医院外部,13吉林省一汽总医院,20260538IQR,20260527yqzyy,
15,长春测点,吉林省肿瘤医院,医院外部,16吉林省第二人民医院,20260539IQR,20260527zlyy,
16,长春测点,五二三电台,电台,11电台523,20260540IQR,20260526523diantai,
17,北京测点,东坝家园,居民区,东坝家园,20260611IQR,20260611beijingdbjiayuan,
18,北京测点,东坝北地铁站,地铁站,东坝北地铁站,20260611IQR,20260611beijingdbbditiezhan,
19,北京测点,东坝万达,购物广场,东坝万达,20260611IQR,20260611beijingdbwanda,
20,北京测点,丽富嘉园小区南区,居民区,丽富嘉园,20260611IQR,20260611beijinglifujy,
21,北京测点,朝新嘉园东里四区,居民区,朝新嘉园,20260611IQR,20260611beijingchaoxinjy,
22,北京测点,东坝福润四季,闹市区,东坝福润四季小区,20260611IQR,20260611beijingfurunsj,
23,北京测点,北京第一中西医结合医院,医院外部,北京第一中西医结合医院,20260611IQR,20260611beijingzxyyiyuan,
24,北京测点,交大嘉园,居民区,交大嘉园,20260612IQR,20260611beijingjiaodajy,
25,北京测点,交大家属区,居民区,交大家属院,20260612IQR,20260611beijingjiaodajjiashu,
26,北京测点,枫蓝国际购物中心,闹市区,枫蓝国际购物广场,20260612IQR,20260611beijingfenlangj,
27,北京测点,西直门地下停车场,大型停车场,西直门停车场,20260612IQR,20260611beijingkaidemaotcc,
28,北京测点,动物园北门停车场,大型停车场,动物园北门停车场,20260612IQR,20260611beijingdongwuyuan,
29,北京测点,高粱桥斜街小区,居民区,高粱斜街小区,20260612IQR,20260611beijing0gaoliangxj,
30,北京测点,国家图书馆,基站,国家图书馆,20260612IQR,20260611beijingguojiatsg,
31,北京测点,北京丰科万达广场,购物广场,丰科万达广场,20260615IQR,20260611beijingfentaiwanda,
32,北京测点,丰台总部基地18区,居民区,丰台总部基地18区,20260615IQR,20260611beijingfentai18qu,
33,北京测点,北京汽车博物馆停车场,大型停车场,中国汽车博物馆停车场,20260615IQR,20260611beijingqcbowuguan,
34,北京测点,怡海花园,居民区,怡海家园,20260615IQR,20260611beijingyihaijiayuan,
35,北京测点,丰台创新中心,基站,丰台创新中心,20260615IQR,20260611beijingfentaichuangxin,
36,北京测点,北京天坛医院,医院外部,天坛医院,20260615IQR,20260611beijingtiantanyiyuan,
37,北京测点,丰台站,车站,丰台站,20260615IQR,20260611beijingfentaizhan,
38,北京测点,丰台总部基地一区,居民区,丰台总部基地一区,20260615IQR,20260611beijingfentaizongji,
39,北京测点,丰台南路地铁站,地铁站,丰台南路地铁站,20260615IQR,20260611beijingfentainz,
40,北京测点,华能北京热电厂,发电站,华能北京热电厂,20260616IQR,20260611beijinghuanengrdc,
41,北京测点,百度ApolloPark,智能网联示范区,百度ApolloPark,20260616IQR,20260611beijingbaidu,
42,北京测点,中和工业园,工业区,中和工业园,20260616IQR,20260611beijingzhonghegyy,
43,北京测点,航天工业园,工业区,航天工业园,20260616IQR,20260611beijinghangtiangyy,
44,北京测点,亦庄文化园地铁站,地铁站,亦庄文化园地铁站,20260616IQR,20260611beijingyizhuangwhy,
45,北京测点,博大大厦停车场,大型停车场,博大大厦停车场,20260616IQR,20260611beijingbodadasha,
46,北京测点,天华园二里二区,居民区,天华二里二区,20260616IQR,20260611beijingtianhua2li,
47,北京测点,北京同仁医院亦庄院区,医院外部,北京同仁医院亦庄院区,20260616IQR,20260611beijingtongrenyiyuan,
48,重庆测点,华岩隧道,居民区,,1-IQ-DATA-4,huayan,
49,重庆测点,双碑隧道,居民区,,1-IQ-DATA-4,shuangb,
50,重庆测点,宋家沟隧道,居民区,,1-IQ-DATA-4,songjg,
51,重庆测点,中梁山华福隧道,工业区,,1-IQ-DATA-4,zhonglshf,
52,重庆测点,白鹤咀隧道,居民区,,2-IQ-DATA-4,baihej,
53,重庆测点,照母山隧道,居民区,,3-IQ-DATA-4,zhaoms,
54,重庆测点,星光隧道,闹市区,,3-IQ-DATA-4,xingg,
55,重庆测点,庙复隧道,居民区,,3-IQ-DATA-4,miaofu,
56,重庆测点,博翠隧道,居民区,,2-IQ-DATA-4,bocui,
57,重庆测点,黄沙溪隧道,闹市区,,2-IQ-DATA-4,huangsx,
58,重庆测点,龙兴隧道,工业区,,2-IQ-DATA-4,longx,
59,重庆测点,慈母山1号隧道,居民区,,3-IQ-DATA-4,cims,
60,重庆测点,慈母山2号隧道,居民区,,3-IQ-DATA-4,cims2hao,
