城市,地点,场景类型,IQ数据组名称,备注
长春测点,一汽红旗繁荣工厂,工业区,,
长春测点,欧亚卖场8号门,购物广场,,
长春测点,欧亚卖场9号门,购物广场,,
长春测点,欧亚卖场14号门,闹市区,,
长春测点,欧亚卖场20号门,闹市区,,
长春测点,吉林广播信号塔,广播电视塔,,
长春测点,红旗街万达地下停车场,闹市区,,
长春测点,长春龙嘉国际机场T1航站楼停车场,机场区域,,
长春测点,长春龙嘉国际机场2航站楼停车场,机场区域,,
长春测点,长春市朝阳区普洛斯物流园区,物流仓储中心,,
长春测点,长春西站,车站,,
长春测点,八一水韵城,居民区,,
长春测点,长春市轨道交通集团,工业区,,
长春测点,一汽总医院,医院外部,,
长春测点,吉林省肿瘤医院,医院外部,,
长春测点,五二三电台,电台,,
北京测点,东坝家园,居民区,,
北京测点,东坝北地铁站,地铁站,,
北京测点,东坝万达,购物广场,,
北京测点,丽富嘉园小区南区,居民区,,
北京测点,朝新嘉园东里四区,居民区,,
北京测点,东坝福润四季,闹市区,,
北京测点,交大嘉园,居民区,,
北京测点,交大家属区,居民区,,
北京测点,枫蓝国际购物中心,闹市区,,
北京测点,西直门地下停车场,大型停车场,,
北京测点,动物园北门停车场,大型停车场,,
北京测点,高粱桥斜街小区,居民区,,
北京测点,国家图书馆,基站,,
北京测点,北京丰科万达广场,购物广场,,
北京测点,丰台总部基地1区,居民区,,
北京测点,北京汽车博物馆停车场,大型停车场,,
北京测点,怡海花园,居民区,,
北京测点,丰台创新中心,基站,,
北京测点,北京天坛医院,医院外部,,
北京测点,丰台站,车站,,
北京测点,丰台南路地铁站,地铁站,,
北京测点,华能北京热电厂,发电站,,
北京测点,百度ApolloPark,智能网联示范区,,
北京测点,中和工业园,工业区,,
北京测点,航天工业园,工业区,,
北京测点,亦庄文化园地铁站,地铁站,,
北京测点,博大大厦停车场,大型停车场,,
北京测点,天华园二里二区,居民区,,
北京测点,北京同仁医院亦庄院区,医院外部,,
